Provincias;Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2022;739
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2021;748
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2020;761
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2019;790
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2018;757
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2017;748
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2016;761
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2015;782
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2014;775
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2013;819
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2012;888
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2011;902
02 Albacete;02001 Abengibre;Todas las edades;Total;1 de enero de 2010;932
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2022;496
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2021;496
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2020;506
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2019;519
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2018;529
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2017;555
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2016;582
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2015;610
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2014;580
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2013;572
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2012;599
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2011;604
02 Albacete;02002 Alatoz;Todas las edades;Total;1 de enero de 2010;599
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2022;172.357
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2021;172.722
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2020;174.336
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2019;173.329
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2018;173.050
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2017;172.816
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2016;172.426
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2015;172.121
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2014;172.487
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2013;172.693
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2012;172.472
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2011;171.390
02 Albacete;02003 Albacete;Todas las edades;Total;1 de enero de 2010;170.475
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2022;670
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2021;681
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2020;679
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2019;692
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2018;693
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2017;698
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2016;714
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2015;744
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2014;748
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2013;774
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2012;782
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2011;794
02 Albacete;02004 Albatana;Todas las edades;Total;1 de enero de 2010;812
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2022;663
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2021;670
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2020;664
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2019;658
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2018;650
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2017;697
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2016;710
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2015;754
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2014;778
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2013;825
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2012;849
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2011;848
02 Albacete;02005 Alborea;Todas las edades;Total;1 de enero de 2010;883
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2022;634
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2021;632
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2020;647
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2019;654
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2018;655
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2017;662
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2016;688
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2015;699
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2014;684
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2013;708
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2012;723
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2011;734
02 Albacete;02006 Alcadozo;Todas las edades;Total;1 de enero de 2010;737
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2022;1.148
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2021;1.153
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2020;1.194
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2019;1.170
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2018;1.199
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2017;1.202
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2016;1.217
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2015;1.250
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2014;1.307
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2013;1.314
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2012;1.346
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2011;1.350
02 Albacete;02007 Alcalá del Júcar;Todas las edades;Total;1 de enero de 2010;1.381
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2022;1.307
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2021;1.310
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2020;1.324
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2019;1.351
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2018;1.405
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2017;1.414
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2016;1.463
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2015;1.529
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2014;1.533
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2013;1.551
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2012;1.597
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2011;1.608
02 Albacete;02008 Alcaraz;Todas las edades;Total;1 de enero de 2010;1.642
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2022;24.224
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2021;24.388
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2020;24.511
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2019;24.419
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2018;24.537
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2017;24.566
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2016;24.800
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2015;24.837
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2014;25.024
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2013;25.279
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2012;25.374
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2011;25.432
02 Albacete;02009 Almansa;Todas las edades;Total;1 de enero de 2010;25.654
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2022;2.245
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2021;2.285
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2020;2.261
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2019;2.265
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2018;2.275
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2017;2.290
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2016;2.289
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2015;2.326
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2014;2.358
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2013;2.406
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2012;2.417
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2011;2.438
02 Albacete;02010 Alpera;Todas las edades;Total;1 de enero de 2010;2.414
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2022;582
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2021;582
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2020;591
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2019;616
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2018;638
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2017;672
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2016;690
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2015;717
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2014;719
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2013;751
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2012;794
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2011;806
02 Albacete;02011 Ayna;Todas las edades;Total;1 de enero de 2010;808
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2022;2.388
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2021;2.363
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2020;2.327
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2019;2.334
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2018;2.360
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2017;2.350
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2016;2.346
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2015;2.378
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2014;2.417
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2013;2.401
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2012;2.447
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2011;2.461
02 Albacete;02012 Balazote;Todas las edades;Total;1 de enero de 2010;2.448
02 Albacete;02014 Ballestero, El;Todas las edades;Total;1 de enero de 2022;427
02 Albacete;02014 Ballestero, El;Todas las edades;Total;1 de enero de 2021;413
02 Albacete;02014 Ballestero, El;Todas las edades;Total;1 de enero de 2020;396
02 Albacete;02014 Ballestero, El;Todas las edades;Total;1 de enero de 2019;405
02 Albacete;02014 Ballestero, El;Todas las edades;Total;1 de enero de 2018;409
02 Albacete;02014 Ballestero, El;Todas las edades;Total;1 de enero de 2017;414
02 Albacete;02014 Ballestero, El;Todas las edades;Total;1 de enero de 2016;427
02 Albacete;02014 Ballestero, El;Todas las edades;Total;1 de enero de 2015;442
