Provincias;Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2022;22
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2021;15
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2020;14
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2019;11
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2018;12
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2017;12
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2016;11
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2015;11
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2014;16
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2013;18
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2012;19
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2011;22
02 Albacete;02001 Abengibre;De 0 a 4 años;Total;1 de enero de 2010;30
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2022;11
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2021;12
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2020;11
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2019;18
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2018;18
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2017;13
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2016;15
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2015;17
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2014;17
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2013;20
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2012;23
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2011;22
02 Albacete;02001 Abengibre;De 5 a 9 años;Total;1 de enero de 2010;26
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2022;21
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2021;21
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2020;21
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2019;19
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2018;18
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2017;16
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2016;17
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2015;20
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2014;14
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2013;17
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2012;31
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2011;40
02 Albacete;02001 Abengibre;De 10 a 14 años;Total;1 de enero de 2010;39
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2022;60
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2021;57
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2020;56
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2019;51
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2018;58
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2017;56
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2016;62
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2015;65
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2014;67
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2013;64
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2012;64
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2011;60
02 Albacete;02001 Abengibre;De 65 a 69 años;Total;1 de enero de 2010;64
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2022;51
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2021;64
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2020;63
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2019;68
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2018;59
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2017;57
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2016;52
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2015;51
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2014;49
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2013;46
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2012;47
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2011;48
02 Albacete;02001 Abengibre;De 70 a 74 años;Total;1 de enero de 2010;47
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2022;55
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2021;47
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2020;47
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2019;47
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2018;40
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2017;37
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2016;38
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2015;35
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2014;37
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2013;40
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2012;49
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2011;50
02 Albacete;02001 Abengibre;De 75 a 79 años;Total;1 de enero de 2010;52
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2022;33
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2021;33
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2020;25
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2019;26
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2018;26
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2017;32
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2016;35
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2015;38
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2014;36
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2013;38
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2012;42
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2011;44
02 Albacete;02001 Abengibre;De 80 a 84 años;Total;1 de enero de 2010;39
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2022;25
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2021;24
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2020;26
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2019;22
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2018;21
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2017;26
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2016;29
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2015;27
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2014;28
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2013;32
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2012;27
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2011;29
02 Albacete;02001 Abengibre;De 85 a 89 años;Total;1 de enero de 2010;30
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2022;14
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2021;14
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2020;12
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2019;12
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2018;14
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2017;12
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2016;15
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2015;15
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2014;15
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2013;17
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2012;12
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2011;9
02 Albacete;02001 Abengibre;De 90 a 94 años;Total;1 de enero de 2010;10
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2022;8
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2021;6
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2020;5
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2019;5
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2018;6
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2017;5
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2016;2
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2015;1
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2014;1
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2013;0
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2012;2
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2011;1
02 Albacete;02001 Abengibre;De 95 a 99 años;Total;1 de enero de 2010;1
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2022;1
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2021;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2020;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2019;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2018;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2017;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2016;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2015;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2014;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2013;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2012;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2011;0
02 Albacete;02001 Abengibre;100 y más años;Total;1 de enero de 2010;0
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2022;10
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2021;11
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2020;12
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2019;15
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2018;17
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2017;17
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2016;15
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2015;14
02 Albacete;02002 Alatoz;De 0 a 4 años;Total;1 de enero de 2014;9
