Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;13 Ciudad Real;13001 Abenójar;Todas las edades;1 de enero de 2020;1.351
Total;13 Ciudad Real;13001 Abenójar;De 0 a 4 años;1 de enero de 2020;35
Total;13 Ciudad Real;13001 Abenójar;De 5 a 9 años;1 de enero de 2020;41
Total;13 Ciudad Real;13001 Abenójar;De 10 a 14 años;1 de enero de 2020;43
Total;13 Ciudad Real;13001 Abenójar;De 65 a 69 años;1 de enero de 2020;74
Total;13 Ciudad Real;13001 Abenójar;De 70 a 74 años;1 de enero de 2020;77
Total;13 Ciudad Real;13001 Abenójar;De 75 a 79 años;1 de enero de 2020;61
Total;13 Ciudad Real;13001 Abenójar;De 80 a 84 años;1 de enero de 2020;73
Total;13 Ciudad Real;13001 Abenójar;De 85 a 89 años;1 de enero de 2020;71
Total;13 Ciudad Real;13001 Abenójar;De 90 a 94 años;1 de enero de 2020;28
Total;13 Ciudad Real;13001 Abenójar;De 95 a 99 años;1 de enero de 2020;4
Total;13 Ciudad Real;13001 Abenójar;100 y más años;1 de enero de 2020;1
Total;13 Ciudad Real;13002 Agudo;Todas las edades;1 de enero de 2020;1.657
Total;13 Ciudad Real;13002 Agudo;De 0 a 4 años;1 de enero de 2020;65
Total;13 Ciudad Real;13002 Agudo;De 5 a 9 años;1 de enero de 2020;59
Total;13 Ciudad Real;13002 Agudo;De 10 a 14 años;1 de enero de 2020;53
Total;13 Ciudad Real;13002 Agudo;De 65 a 69 años;1 de enero de 2020;96
Total;13 Ciudad Real;13002 Agudo;De 70 a 74 años;1 de enero de 2020;99
Total;13 Ciudad Real;13002 Agudo;De 75 a 79 años;1 de enero de 2020;112
Total;13 Ciudad Real;13002 Agudo;De 80 a 84 años;1 de enero de 2020;116
Total;13 Ciudad Real;13002 Agudo;De 85 a 89 años;1 de enero de 2020;91
Total;13 Ciudad Real;13002 Agudo;De 90 a 94 años;1 de enero de 2020;26
Total;13 Ciudad Real;13002 Agudo;De 95 a 99 años;1 de enero de 2020;8
Total;13 Ciudad Real;13002 Agudo;100 y más años;1 de enero de 2020;2
Total;13 Ciudad Real;13003 Alamillo;Todas las edades;1 de enero de 2020;476
