Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;16 Cuenca;16001 Abia de la Obispalía;Todas las edades;1 de enero de 2020;61
Total;16 Cuenca;16001 Abia de la Obispalía;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16001 Abia de la Obispalía;De 5 a 9 años;1 de enero de 2020;1
Total;16 Cuenca;16001 Abia de la Obispalía;De 10 a 14 años;1 de enero de 2020;1
Total;16 Cuenca;16001 Abia de la Obispalía;De 65 a 69 años;1 de enero de 2020;6
Total;16 Cuenca;16001 Abia de la Obispalía;De 70 a 74 años;1 de enero de 2020;5
Total;16 Cuenca;16001 Abia de la Obispalía;De 75 a 79 años;1 de enero de 2020;2
Total;16 Cuenca;16001 Abia de la Obispalía;De 80 a 84 años;1 de enero de 2020;3
Total;16 Cuenca;16001 Abia de la Obispalía;De 85 a 89 años;1 de enero de 2020;5
Total;16 Cuenca;16001 Abia de la Obispalía;De 90 a 94 años;1 de enero de 2020;5
Total;16 Cuenca;16001 Abia de la Obispalía;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16001 Abia de la Obispalía;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16002 Acebrón, El;Todas las edades;1 de enero de 2020;231
Total;16 Cuenca;16002 Acebrón, El;De 0 a 4 años;1 de enero de 2020;5
Total;16 Cuenca;16002 Acebrón, El;De 5 a 9 años;1 de enero de 2020;4
Total;16 Cuenca;16002 Acebrón, El;De 10 a 14 años;1 de enero de 2020;9
Total;16 Cuenca;16002 Acebrón, El;De 65 a 69 años;1 de enero de 2020;14
Total;16 Cuenca;16002 Acebrón, El;De 70 a 74 años;1 de enero de 2020;10
Total;16 Cuenca;16002 Acebrón, El;De 75 a 79 años;1 de enero de 2020;15
Total;16 Cuenca;16002 Acebrón, El;De 80 a 84 años;1 de enero de 2020;18
Total;16 Cuenca;16002 Acebrón, El;De 85 a 89 años;1 de enero de 2020;15
Total;16 Cuenca;16002 Acebrón, El;De 90 a 94 años;1 de enero de 2020;5
