Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;19 Guadalajara;19001 Abánades;Todas las edades;1 de enero de 2020;53
Total;19 Guadalajara;19001 Abánades;De 0 a 4 años;1 de enero de 2020;1
Total;19 Guadalajara;19001 Abánades;De 5 a 9 años;1 de enero de 2020;1
Total;19 Guadalajara;19001 Abánades;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19001 Abánades;De 65 a 69 años;1 de enero de 2020;3
Total;19 Guadalajara;19001 Abánades;De 70 a 74 años;1 de enero de 2020;4
Total;19 Guadalajara;19001 Abánades;De 75 a 79 años;1 de enero de 2020;5
Total;19 Guadalajara;19001 Abánades;De 80 a 84 años;1 de enero de 2020;6
Total;19 Guadalajara;19001 Abánades;De 85 a 89 años;1 de enero de 2020;4
Total;19 Guadalajara;19001 Abánades;De 90 a 94 años;1 de enero de 2020;2
Total;19 Guadalajara;19001 Abánades;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19001 Abánades;100 y más años;1 de enero de 2020;1
Total;19 Guadalajara;19002 Ablanque;Todas las edades;1 de enero de 2020;55
Total;19 Guadalajara;19002 Ablanque;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19002 Ablanque;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19002 Ablanque;De 10 a 14 años;1 de enero de 2020;1
Total;19 Guadalajara;19002 Ablanque;De 65 a 69 años;1 de enero de 2020;9
Total;19 Guadalajara;19002 Ablanque;De 70 a 74 años;1 de enero de 2020;3
Total;19 Guadalajara;19002 Ablanque;De 75 a 79 años;1 de enero de 2020;3
Total;19 Guadalajara;19002 Ablanque;De 80 a 84 años;1 de enero de 2020;5
Total;19 Guadalajara;19002 Ablanque;De 85 a 89 años;1 de enero de 2020;2
Total;19 Guadalajara;19002 Ablanque;De 90 a 94 años;1 de enero de 2020;6
Total;19 Guadalajara;19002 Ablanque;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19002 Ablanque;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19003 Adobes;Todas las edades;1 de enero de 2020;35
Total;19 Guadalajara;19003 Adobes;De 0 a 4 años;1 de enero de 2020;1
Total;19 Guadalajara;19003 Adobes;De 5 a 9 años;1 de enero de 2020;1
Total;19 Guadalajara;19003 Adobes;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19003 Adobes;De 65 a 69 años;1 de enero de 2020;7
Total;19 Guadalajara;19003 Adobes;De 70 a 74 años;1 de enero de 2020;2
Total;19 Guadalajara;19003 Adobes;De 75 a 79 años;1 de enero de 2020;3
Total;19 Guadalajara;19003 Adobes;De 80 a 84 años;1 de enero de 2020;1
Total;19 Guadalajara;19003 Adobes;De 85 a 89 años;1 de enero de 2020;0
Total;19 Guadalajara;19003 Adobes;De 90 a 94 años;1 de enero de 2020;0
Total;19 Guadalajara;19003 Adobes;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19003 Adobes;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19004 Alaminos;Todas las edades;1 de enero de 2020;58
Total;19 Guadalajara;19004 Alaminos;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19004 Alaminos;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19004 Alaminos;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19004 Alaminos;De 65 a 69 años;1 de enero de 2020;4
Total;19 Guadalajara;19004 Alaminos;De 70 a 74 años;1 de enero de 2020;3
Total;19 Guadalajara;19004 Alaminos;De 75 a 79 años;1 de enero de 2020;4
Total;19 Guadalajara;19004 Alaminos;De 80 a 84 años;1 de enero de 2020;2
Total;19 Guadalajara;19004 Alaminos;De 85 a 89 años;1 de enero de 2020;7
Total;19 Guadalajara;19004 Alaminos;De 90 a 94 años;1 de enero de 2020;2
Total;19 Guadalajara;19004 Alaminos;De 95 a 99 años;1 de enero de 2020;4
Total;19 Guadalajara;19004 Alaminos;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19005 Alarilla;Todas las edades;1 de enero de 2020;137
Total;19 Guadalajara;19005 Alarilla;De 0 a 4 años;1 de enero de 2020;2
Total;19 Guadalajara;19005 Alarilla;De 5 a 9 años;1 de enero de 2020;1
Total;19 Guadalajara;19005 Alarilla;De 10 a 14 años;1 de enero de 2020;2
Total;19 Guadalajara;19005 Alarilla;De 65 a 69 años;1 de enero de 2020;8
Total;19 Guadalajara;19005 Alarilla;De 70 a 74 años;1 de enero de 2020;6
