Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;45 Toledo;45001 Ajofrín;Todas las edades;1 de enero de 2020;2.259
Total;45 Toledo;45001 Ajofrín;De 0 a 4 años;1 de enero de 2020;96
Total;45 Toledo;45001 Ajofrín;De 5 a 9 años;1 de enero de 2020;118
Total;45 Toledo;45001 Ajofrín;De 10 a 14 años;1 de enero de 2020;119
Total;45 Toledo;45001 Ajofrín;De 65 a 69 años;1 de enero de 2020;137
Total;45 Toledo;45001 Ajofrín;De 70 a 74 años;1 de enero de 2020;108
Total;45 Toledo;45001 Ajofrín;De 75 a 79 años;1 de enero de 2020;87
Total;45 Toledo;45001 Ajofrín;De 80 a 84 años;1 de enero de 2020;66
Total;45 Toledo;45001 Ajofrín;De 85 a 89 años;1 de enero de 2020;64
Total;45 Toledo;45001 Ajofrín;De 90 a 94 años;1 de enero de 2020;36
Total;45 Toledo;45001 Ajofrín;De 95 a 99 años;1 de enero de 2020;14
Total;45 Toledo;45001 Ajofrín;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45002 Alameda de la Sagra;Todas las edades;1 de enero de 2020;3.734
Total;45 Toledo;45002 Alameda de la Sagra;De 0 a 4 años;1 de enero de 2020;200
Total;45 Toledo;45002 Alameda de la Sagra;De 5 a 9 años;1 de enero de 2020;220
Total;45 Toledo;45002 Alameda de la Sagra;De 10 a 14 años;1 de enero de 2020;248
Total;45 Toledo;45002 Alameda de la Sagra;De 65 a 69 años;1 de enero de 2020;158
Total;45 Toledo;45002 Alameda de la Sagra;De 70 a 74 años;1 de enero de 2020;129
Total;45 Toledo;45002 Alameda de la Sagra;De 75 a 79 años;1 de enero de 2020;120
Total;45 Toledo;45002 Alameda de la Sagra;De 80 a 84 años;1 de enero de 2020;94
Total;45 Toledo;45002 Alameda de la Sagra;De 85 a 89 años;1 de enero de 2020;76
Total;45 Toledo;45002 Alameda de la Sagra;De 90 a 94 años;1 de enero de 2020;33
Total;45 Toledo;45002 Alameda de la Sagra;De 95 a 99 años;1 de enero de 2020;5
Total;45 Toledo;45002 Alameda de la Sagra;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45003 Albarreal de Tajo;Todas las edades;1 de enero de 2020;679
Total;45 Toledo;45003 Albarreal de Tajo;De 0 a 4 años;1 de enero de 2020;16
