Municipio;Nacionalidad;Sexo;Destino;Total
02001 Abengibre;Total;Total;Misma provincia;10
02001 Abengibre;Total;Total;Misma comunidad autónoma, distinta provincia;2
02001 Abengibre;Total;Total;Otra comunidad autónoma;9
02001 Abengibre;Total;Total;Extranjero;0
02002 Alatoz;Total;Total;Misma provincia;5
02002 Alatoz;Total;Total;Misma comunidad autónoma, distinta provincia;0
02002 Alatoz;Total;Total;Otra comunidad autónoma;12
02002 Alatoz;Total;Total;Extranjero;0
02003 Albacete;Total;Total;Misma provincia;1.215
02003 Albacete;Total;Total;Misma comunidad autónoma, distinta provincia;323
02003 Albacete;Total;Total;Otra comunidad autónoma;1.909
02003 Albacete;Total;Total;Extranjero;666
02004 Albatana;Total;Total;Misma provincia;11
02004 Albatana;Total;Total;Misma comunidad autónoma, distinta provincia;2
02004 Albatana;Total;Total;Otra comunidad autónoma;18
02004 Albatana;Total;Total;Extranjero;0
02005 Alborea;Total;Total;Misma provincia;12
02005 Alborea;Total;Total;Misma comunidad autónoma, distinta provincia;4
02005 Alborea;Total;Total;Otra comunidad autónoma;11
02005 Alborea;Total;Total;Extranjero;3
02006 Alcadozo;Total;Total;Misma provincia;25
02006 Alcadozo;Total;Total;Misma comunidad autónoma, distinta provincia;0
02006 Alcadozo;Total;Total;Otra comunidad autónoma;1
02006 Alcadozo;Total;Total;Extranjero;1
02007 Alcalá del Júcar;Total;Total;Misma provincia;35
02007 Alcalá del Júcar;Total;Total;Misma comunidad autónoma, distinta provincia;2
02007 Alcalá del Júcar;Total;Total;Otra comunidad autónoma;24
02007 Alcalá del Júcar;Total;Total;Extranjero;0
02008 Alcaraz;Total;Total;Misma provincia;24
02008 Alcaraz;Total;Total;Misma comunidad autónoma, distinta provincia;3
02008 Alcaraz;Total;Total;Otra comunidad autónoma;20
02008 Alcaraz;Total;Total;Extranjero;1
02009 Almansa;Total;Total;Misma provincia;99
02009 Almansa;Total;Total;Misma comunidad autónoma, distinta provincia;25
02009 Almansa;Total;Total;Otra comunidad autónoma;348
02009 Almansa;Total;Total;Extranjero;34
02010 Alpera;Total;Total;Misma provincia;27
02010 Alpera;Total;Total;Misma comunidad autónoma, distinta provincia;3
02010 Alpera;Total;Total;Otra comunidad autónoma;30
02010 Alpera;Total;Total;Extranjero;0
02011 Ayna;Total;Total;Misma provincia;20
02011 Ayna;Total;Total;Misma comunidad autónoma, distinta provincia;0
02011 Ayna;Total;Total;Otra comunidad autónoma;3
02011 Ayna;Total;Total;Extranjero;0
02012 Balazote;Total;Total;Misma provincia;17
02012 Balazote;Total;Total;Misma comunidad autónoma, distinta provincia;4
02012 Balazote;Total;Total;Otra comunidad autónoma;20
02012 Balazote;Total;Total;Extranjero;0
02014 Ballestero, El;Total;Total;Misma provincia;11
02014 Ballestero, El;Total;Total;Misma comunidad autónoma, distinta provincia;1
02014 Ballestero, El;Total;Total;Otra comunidad autónoma;2
02014 Ballestero, El;Total;Total;Extranjero;0
02013 Balsa de Ves;Total;Total;Misma provincia;1
02013 Balsa de Ves;Total;Total;Misma comunidad autónoma, distinta provincia;0
02013 Balsa de Ves;Total;Total;Otra comunidad autónoma;8
02013 Balsa de Ves;Total;Total;Extranjero;0
02015 Barrax;Total;Total;Misma provincia;29
02015 Barrax;Total;Total;Misma comunidad autónoma, distinta provincia;8
02015 Barrax;Total;Total;Otra comunidad autónoma;24
02015 Barrax;Total;Total;Extranjero;0
02016 Bienservida;Total;Total;Misma provincia;4
02016 Bienservida;Total;Total;Misma comunidad autónoma, distinta provincia;2
02016 Bienservida;Total;Total;Otra comunidad autónoma;7
02016 Bienservida;Total;Total;Extranjero;0
02017 Bogarra;Total;Total;Misma provincia;25
02017 Bogarra;Total;Total;Misma comunidad autónoma, distinta provincia;1
02017 Bogarra;Total;Total;Otra comunidad autónoma;8
02017 Bogarra;Total;Total;Extranjero;0
02018 Bonete;Total;Total;Misma provincia;25
02018 Bonete;Total;Total;Misma comunidad autónoma, distinta provincia;1
02018 Bonete;Total;Total;Otra comunidad autónoma;8
02018 Bonete;Total;Total;Extranjero;1
02019 Bonillo, El;Total;Total;Misma provincia;17
02019 Bonillo, El;Total;Total;Misma comunidad autónoma, distinta provincia;2
02019 Bonillo, El;Total;Total;Otra comunidad autónoma;9
02019 Bonillo, El;Total;Total;Extranjero;3
02020 Carcelén;Total;Total;Misma provincia;9
02020 Carcelén;Total;Total;Misma comunidad autónoma, distinta provincia;0
02020 Carcelén;Total;Total;Otra comunidad autónoma;3
02020 Carcelén;Total;Total;Extranjero;0
02021 Casas de Juan Núñez;Total;Total;Misma provincia;32
02021 Casas de Juan Núñez;Total;Total;Misma comunidad autónoma, distinta provincia;2
02021 Casas de Juan Núñez;Total;Total;Otra comunidad autónoma;36
02021 Casas de Juan Núñez;Total;Total;Extranjero;6
02022 Casas de Lázaro;Total;Total;Misma provincia;22
02022 Casas de Lázaro;Total;Total;Misma comunidad autónoma, distinta provincia;0
02022 Casas de Lázaro;Total;Total;Otra comunidad autónoma;2
02022 Casas de Lázaro;Total;Total;Extranjero;0
02023 Casas de Ves;Total;Total;Misma provincia;12
