Municipio;Nacionalidad;Sexo;Destino;Total
13001 Abenójar;Total;Total;Misma provincia;10
13001 Abenójar;Total;Total;Misma comunidad autónoma, distinta provincia;2
13001 Abenójar;Total;Total;Otra comunidad autónoma;14
13001 Abenójar;Total;Total;Extranjero;0
13002 Agudo;Total;Total;Misma provincia;5
13002 Agudo;Total;Total;Misma comunidad autónoma, distinta provincia;1
13002 Agudo;Total;Total;Otra comunidad autónoma;28
13002 Agudo;Total;Total;Extranjero;3
13003 Alamillo;Total;Total;Misma provincia;5
13003 Alamillo;Total;Total;Misma comunidad autónoma, distinta provincia;1
13003 Alamillo;Total;Total;Otra comunidad autónoma;9
13003 Alamillo;Total;Total;Extranjero;2
13004 Albaladejo;Total;Total;Misma provincia;5
13004 Albaladejo;Total;Total;Misma comunidad autónoma, distinta provincia;2
13004 Albaladejo;Total;Total;Otra comunidad autónoma;14
13004 Albaladejo;Total;Total;Extranjero;0
13005 Alcázar de San Juan;Total;Total;Misma provincia;137
13005 Alcázar de San Juan;Total;Total;Misma comunidad autónoma, distinta provincia;137
13005 Alcázar de San Juan;Total;Total;Otra comunidad autónoma;359
13005 Alcázar de San Juan;Total;Total;Extranjero;83
13006 Alcoba;Total;Total;Misma provincia;10
13006 Alcoba;Total;Total;Misma comunidad autónoma, distinta provincia;2
13006 Alcoba;Total;Total;Otra comunidad autónoma;1
13006 Alcoba;Total;Total;Extranjero;0
13007 Alcolea de Calatrava;Total;Total;Misma provincia;26
13007 Alcolea de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;0
13007 Alcolea de Calatrava;Total;Total;Otra comunidad autónoma;9
13007 Alcolea de Calatrava;Total;Total;Extranjero;0
13008 Alcubillas;Total;Total;Misma provincia;7
13008 Alcubillas;Total;Total;Misma comunidad autónoma, distinta provincia;0
13008 Alcubillas;Total;Total;Otra comunidad autónoma;7
13008 Alcubillas;Total;Total;Extranjero;0
13009 Aldea del Rey;Total;Total;Misma provincia;21
13009 Aldea del Rey;Total;Total;Misma comunidad autónoma, distinta provincia;0
13009 Aldea del Rey;Total;Total;Otra comunidad autónoma;17
13009 Aldea del Rey;Total;Total;Extranjero;1
13010 Alhambra;Total;Total;Misma provincia;18
13010 Alhambra;Total;Total;Misma comunidad autónoma, distinta provincia;0
13010 Alhambra;Total;Total;Otra comunidad autónoma;19
13010 Alhambra;Total;Total;Extranjero;0
13011 Almadén;Total;Total;Misma provincia;58
13011 Almadén;Total;Total;Misma comunidad autónoma, distinta provincia;15
13011 Almadén;Total;Total;Otra comunidad autónoma;91
13011 Almadén;Total;Total;Extranjero;4
13012 Almadenejos;Total;Total;Misma provincia;1
13012 Almadenejos;Total;Total;Misma comunidad autónoma, distinta provincia;3
13012 Almadenejos;Total;Total;Otra comunidad autónoma;3
13012 Almadenejos;Total;Total;Extranjero;2
13013 Almagro;Total;Total;Misma provincia;122
13013 Almagro;Total;Total;Misma comunidad autónoma, distinta provincia;14
13013 Almagro;Total;Total;Otra comunidad autónoma;71
13013 Almagro;Total;Total;Extranjero;9
13014 Almedina;Total;Total;Misma provincia;2
13014 Almedina;Total;Total;Misma comunidad autónoma, distinta provincia;0
13014 Almedina;Total;Total;Otra comunidad autónoma;2
13014 Almedina;Total;Total;Extranjero;0
13015 Almodóvar del Campo;Total;Total;Misma provincia;48
13015 Almodóvar del Campo;Total;Total;Misma comunidad autónoma, distinta provincia;10
13015 Almodóvar del Campo;Total;Total;Otra comunidad autónoma;60
13015 Almodóvar del Campo;Total;Total;Extranjero;6
13016 Almuradiel;Total;Total;Misma provincia;17
13016 Almuradiel;Total;Total;Misma comunidad autónoma, distinta provincia;2
13016 Almuradiel;Total;Total;Otra comunidad autónoma;9
13016 Almuradiel;Total;Total;Extranjero;0
13017 Anchuras;Total;Total;Misma provincia;0
13017 Anchuras;Total;Total;Misma comunidad autónoma, distinta provincia;16
13017 Anchuras;Total;Total;Otra comunidad autónoma;6
13017 Anchuras;Total;Total;Extranjero;0
13903 Arenales de San Gregorio;Total;Total;Misma provincia;8
13903 Arenales de San Gregorio;Total;Total;Misma comunidad autónoma, distinta provincia;1
13903 Arenales de San Gregorio;Total;Total;Otra comunidad autónoma;2
13903 Arenales de San Gregorio;Total;Total;Extranjero;3
13018 Arenas de San Juan;Total;Total;Misma provincia;20
13018 Arenas de San Juan;Total;Total;Misma comunidad autónoma, distinta provincia;0
13018 Arenas de San Juan;Total;Total;Otra comunidad autónoma;8
13018 Arenas de San Juan;Total;Total;Extranjero;1
13019 Argamasilla de Alba;Total;Total;Misma provincia;72
13019 Argamasilla de Alba;Total;Total;Misma comunidad autónoma, distinta provincia;12
13019 Argamasilla de Alba;Total;Total;Otra comunidad autónoma;66
13019 Argamasilla de Alba;Total;Total;Extranjero;185
13020 Argamasilla de Calatrava;Total;Total;Misma provincia;73
13020 Argamasilla de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;4
13020 Argamasilla de Calatrava;Total;Total;Otra comunidad autónoma;43
13020 Argamasilla de Calatrava;Total;Total;Extranjero;15
13021 Arroba de los Montes;Total;Total;Misma provincia;5
13021 Arroba de los Montes;Total;Total;Misma comunidad autónoma, distinta provincia;0
13021 Arroba de los Montes;Total;Total;Otra comunidad autónoma;4
13021 Arroba de los Montes;Total;Total;Extranjero;0
13022 Ballesteros de Calatrava;Total;Total;Misma provincia;16
13022 Ballesteros de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;0
13022 Ballesteros de Calatrava;Total;Total;Otra comunidad autónoma;5
13022 Ballesteros de Calatrava;Total;Total;Extranjero;0
13023 Bolaños de Calatrava;Total;Total;Misma provincia;121
13023 Bolaños de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;7
13023 Bolaños de Calatrava;Total;Total;Otra comunidad autónoma;90
13023 Bolaños de Calatrava;Total;Total;Extranjero;50
13024 Brazatortas;Total;Total;Misma provincia;8
13024 Brazatortas;Total;Total;Misma comunidad autónoma, distinta provincia;0
13024 Brazatortas;Total;Total;Otra comunidad autónoma;9
13024 Brazatortas;Total;Total;Extranjero;1
13025 Cabezarados;Total;Total;Misma provincia;2
13025 Cabezarados;Total;Total;Misma comunidad autónoma, distinta provincia;7
13025 Cabezarados;Total;Total;Otra comunidad autónoma;1
13025 Cabezarados;Total;Total;Extranjero;0
13026 Cabezarrubias del Puerto;Total;Total;Misma provincia;1
13026 Cabezarrubias del Puerto;Total;Total;Misma comunidad autónoma, distinta provincia;0
13026 Cabezarrubias del Puerto;Total;Total;Otra comunidad autónoma;2
13026 Cabezarrubias del Puerto;Total;Total;Extranjero;0
13027 Calzada de Calatrava;Total;Total;Misma provincia;48
13027 Calzada de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;2
13027 Calzada de Calatrava;Total;Total;Otra comunidad autónoma;19
13027 Calzada de Calatrava;Total;Total;Extranjero;5
13028 Campo de Criptana;Total;Total;Misma provincia;59
13028 Campo de Criptana;Total;Total;Misma comunidad autónoma, distinta provincia;27
13028 Campo de Criptana;Total;Total;Otra comunidad autónoma;110
13028 Campo de Criptana;Total;Total;Extranjero;59
13029 Cañada de Calatrava;Total;Total;Misma provincia;1
13029 Cañada de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;0
13029 Cañada de Calatrava;Total;Total;Otra comunidad autónoma;1
13029 Cañada de Calatrava;Total;Total;Extranjero;0
13030 Caracuel de Calatrava;Total;Total;Misma provincia;4
13030 Caracuel de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;0
13030 Caracuel de Calatrava;Total;Total;Otra comunidad autónoma;2
13030 Caracuel de Calatrava;Total;Total;Extranjero;0
13031 Carrión de Calatrava;Total;Total;Misma provincia;37
13031 Carrión de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;12
13031 Carrión de Calatrava;Total;Total;Otra comunidad autónoma;29
13031 Carrión de Calatrava;Total;Total;Extranjero;6
13032 Carrizosa;Total;Total;Misma provincia;15
13032 Carrizosa;Total;Total;Misma comunidad autónoma, distinta provincia;2
13032 Carrizosa;Total;Total;Otra comunidad autónoma;11
13032 Carrizosa;Total;Total;Extranjero;0
13033 Castellar de Santiago;Total;Total;Misma provincia;12
13033 Castellar de Santiago;Total;Total;Misma comunidad autónoma, distinta provincia;1
13033 Castellar de Santiago;Total;Total;Otra comunidad autónoma;18
13033 Castellar de Santiago;Total;Total;Extranjero;0
13038 Chillón;Total;Total;Misma provincia;17
13038 Chillón;Total;Total;Misma comunidad autónoma, distinta provincia;3
13038 Chillón;Total;Total;Otra comunidad autónoma;21
13038 Chillón;Total;Total;Extranjero;1
13034 Ciudad Real;Total;Total;Misma provincia;1.015
13034 Ciudad Real;Total;Total;Misma comunidad autónoma, distinta provincia;150
13034 Ciudad Real;Total;Total;Otra comunidad autónoma;1.102
13034 Ciudad Real;Total;Total;Extranjero;311
13035 Corral de Calatrava;Total;Total;Misma provincia;21
13035 Corral de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;2
13035 Corral de Calatrava;Total;Total;Otra comunidad autónoma;8
13035 Corral de Calatrava;Total;Total;Extranjero;0
13036 Cortijos, Los;Total;Total;Misma provincia;10
13036 Cortijos, Los;Total;Total;Misma comunidad autónoma, distinta provincia;8
13036 Cortijos, Los;Total;Total;Otra comunidad autónoma;8
13036 Cortijos, Los;Total;Total;Extranjero;0
13037 Cózar;Total;Total;Misma provincia;12
13037 Cózar;Total;Total;Misma comunidad autónoma, distinta provincia;8
13037 Cózar;Total;Total;Otra comunidad autónoma;6
13037 Cózar;Total;Total;Extranjero;17
13039 Daimiel;Total;Total;Misma provincia;97
13039 Daimiel;Total;Total;Misma comunidad autónoma, distinta provincia;36
13039 Daimiel;Total;Total;Otra comunidad autónoma;127
13039 Daimiel;Total;Total;Extranjero;17
13040 Fernán Caballero;Total;Total;Misma provincia;10
13040 Fernán Caballero;Total;Total;Misma comunidad autónoma, distinta provincia;4
13040 Fernán Caballero;Total;Total;Otra comunidad autónoma;10
13040 Fernán Caballero;Total;Total;Extranjero;1
13041 Fontanarejo;Total;Total;Misma provincia;4
13041 Fontanarejo;Total;Total;Misma comunidad autónoma, distinta provincia;1
13041 Fontanarejo;Total;Total;Otra comunidad autónoma;3
13041 Fontanarejo;Total;Total;Extranjero;1
13042 Fuencaliente;Total;Total;Misma provincia;20
13042 Fuencaliente;Total;Total;Misma comunidad autónoma, distinta provincia;1
13042 Fuencaliente;Total;Total;Otra comunidad autónoma;14
13042 Fuencaliente;Total;Total;Extranjero;1
13043 Fuenllana;Total;Total;Misma provincia;2
13043 Fuenllana;Total;Total;Misma comunidad autónoma, distinta provincia;1
13043 Fuenllana;Total;Total;Otra comunidad autónoma;1
13043 Fuenllana;Total;Total;Extranjero;0
13044 Fuente el Fresno;Total;Total;Misma provincia;54
13044 Fuente el Fresno;Total;Total;Misma comunidad autónoma, distinta provincia;9
13044 Fuente el Fresno;Total;Total;Otra comunidad autónoma;33
13044 Fuente el Fresno;Total;Total;Extranjero;2
13045 Granátula de Calatrava;Total;Total;Misma provincia;16
13045 Granátula de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;0
13045 Granátula de Calatrava;Total;Total;Otra comunidad autónoma;8
13045 Granátula de Calatrava;Total;Total;Extranjero;1
13046 Guadalmez;Total;Total;Misma provincia;3
13046 Guadalmez;Total;Total;Misma comunidad autónoma, distinta provincia;1
13046 Guadalmez;Total;Total;Otra comunidad autónoma;11
13046 Guadalmez;Total;Total;Extranjero;0
13047 Herencia;Total;Total;Misma provincia;39
13047 Herencia;Total;Total;Misma comunidad autónoma, distinta provincia;23
13047 Herencia;Total;Total;Otra comunidad autónoma;78
13047 Herencia;Total;Total;Extranjero;76
13048 Hinojosas de Calatrava;Total;Total;Misma provincia;14
13048 Hinojosas de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;0
13048 Hinojosas de Calatrava;Total;Total;Otra comunidad autónoma;7
13048 Hinojosas de Calatrava;Total;Total;Extranjero;0
13049 Horcajo de los Montes;Total;Total;Misma provincia;18
13049 Horcajo de los Montes;Total;Total;Misma comunidad autónoma, distinta provincia;3
13049 Horcajo de los Montes;Total;Total;Otra comunidad autónoma;14
13049 Horcajo de los Montes;Total;Total;Extranjero;1
13050 Labores, Las;Total;Total;Misma provincia;5
13050 Labores, Las;Total;Total;Misma comunidad autónoma, distinta provincia;1
13050 Labores, Las;Total;Total;Otra comunidad autónoma;4
13050 Labores, Las;Total;Total;Extranjero;0
13904 Llanos del Caudillo;Total;Total;Misma provincia;10
13904 Llanos del Caudillo;Total;Total;Misma comunidad autónoma, distinta provincia;1
13904 Llanos del Caudillo;Total;Total;Otra comunidad autónoma;7
13904 Llanos del Caudillo;Total;Total;Extranjero;0
13051 Luciana;Total;Total;Misma provincia;8
13051 Luciana;Total;Total;Misma comunidad autónoma, distinta provincia;1
13051 Luciana;Total;Total;Otra comunidad autónoma;5
13051 Luciana;Total;Total;Extranjero;0
13052 Malagón;Total;Total;Misma provincia;61
13052 Malagón;Total;Total;Misma comunidad autónoma, distinta provincia;23
13052 Malagón;Total;Total;Otra comunidad autónoma;100
13052 Malagón;Total;Total;Extranjero;14
13053 Manzanares;Total;Total;Misma provincia;154
13053 Manzanares;Total;Total;Misma comunidad autónoma, distinta provincia;30
13053 Manzanares;Total;Total;Otra comunidad autónoma;205
13053 Manzanares;Total;Total;Extranjero;74
13054 Membrilla;Total;Total;Misma provincia;58
13054 Membrilla;Total;Total;Misma comunidad autónoma, distinta provincia;5
13054 Membrilla;Total;Total;Otra comunidad autónoma;39
13054 Membrilla;Total;Total;Extranjero;6
13055 Mestanza;Total;Total;Misma provincia;11
13055 Mestanza;Total;Total;Misma comunidad autónoma, distinta provincia;1
13055 Mestanza;Total;Total;Otra comunidad autónoma;14
13055 Mestanza;Total;Total;Extranjero;0
13056 Miguelturra;Total;Total;Misma provincia;241
13056 Miguelturra;Total;Total;Misma comunidad autónoma, distinta provincia;18
13056 Miguelturra;Total;Total;Otra comunidad autónoma;147
13056 Miguelturra;Total;Total;Extranjero;52
13057 Montiel;Total;Total;Misma provincia;16
13057 Montiel;Total;Total;Misma comunidad autónoma, distinta provincia;5
13057 Montiel;Total;Total;Otra comunidad autónoma;13
13057 Montiel;Total;Total;Extranjero;13
13058 Moral de Calatrava;Total;Total;Misma provincia;26
13058 Moral de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;3
13058 Moral de Calatrava;Total;Total;Otra comunidad autónoma;38
13058 Moral de Calatrava;Total;Total;Extranjero;36
13059 Navalpino;Total;Total;Misma provincia;9
13059 Navalpino;Total;Total;Misma comunidad autónoma, distinta provincia;0
13059 Navalpino;Total;Total;Otra comunidad autónoma;2
13059 Navalpino;Total;Total;Extranjero;2
13060 Navas de Estena;Total;Total;Misma provincia;3
13060 Navas de Estena;Total;Total;Misma comunidad autónoma, distinta provincia;1
13060 Navas de Estena;Total;Total;Otra comunidad autónoma;6
13060 Navas de Estena;Total;Total;Extranjero;0
13061 Pedro Muñoz;Total;Total;Misma provincia;39
13061 Pedro Muñoz;Total;Total;Misma comunidad autónoma, distinta provincia;30
13061 Pedro Muñoz;Total;Total;Otra comunidad autónoma;83
13061 Pedro Muñoz;Total;Total;Extranjero;17
13062 Picón;Total;Total;Misma provincia;14
13062 Picón;Total;Total;Misma comunidad autónoma, distinta provincia;1
13062 Picón;Total;Total;Otra comunidad autónoma;7
13062 Picón;Total;Total;Extranjero;0
13063 Piedrabuena;Total;Total;Misma provincia;30
13063 Piedrabuena;Total;Total;Misma comunidad autónoma, distinta provincia;11
13063 Piedrabuena;Total;Total;Otra comunidad autónoma;31
13063 Piedrabuena;Total;Total;Extranjero;3
13064 Poblete;Total;Total;Misma provincia;68
13064 Poblete;Total;Total;Misma comunidad autónoma, distinta provincia;3
13064 Poblete;Total;Total;Otra comunidad autónoma;27
13064 Poblete;Total;Total;Extranjero;5
13065 Porzuna;Total;Total;Misma provincia;55
13065 Porzuna;Total;Total;Misma comunidad autónoma, distinta provincia;14
13065 Porzuna;Total;Total;Otra comunidad autónoma;35
13065 Porzuna;Total;Total;Extranjero;8
13066 Pozuelo de Calatrava;Total;Total;Misma provincia;78
13066 Pozuelo de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;3
13066 Pozuelo de Calatrava;Total;Total;Otra comunidad autónoma;23
13066 Pozuelo de Calatrava;Total;Total;Extranjero;9
13067 Pozuelos de Calatrava, Los;Total;Total;Misma provincia;13
13067 Pozuelos de Calatrava, Los;Total;Total;Misma comunidad autónoma, distinta provincia;0
13067 Pozuelos de Calatrava, Los;Total;Total;Otra comunidad autónoma;8
13067 Pozuelos de Calatrava, Los;Total;Total;Extranjero;0
