Municipio;Nacionalidad;Sexo;Destino;Total
16001 Abia de la Obispalía;Total;Total;Misma provincia;""
16001 Abia de la Obispalía;Total;Total;Misma comunidad autónoma, distinta provincia;""
16001 Abia de la Obispalía;Total;Total;Otra comunidad autónoma;""
16001 Abia de la Obispalía;Total;Total;Extranjero;""
16002 Acebrón, El;Total;Total;Misma provincia;""
16002 Acebrón, El;Total;Total;Misma comunidad autónoma, distinta provincia;""
16002 Acebrón, El;Total;Total;Otra comunidad autónoma;""
16002 Acebrón, El;Total;Total;Extranjero;""
16003 Alarcón;Total;Total;Misma provincia;""
16003 Alarcón;Total;Total;Misma comunidad autónoma, distinta provincia;""
16003 Alarcón;Total;Total;Otra comunidad autónoma;""
16003 Alarcón;Total;Total;Extranjero;""
16004 Albaladejo del Cuende;Total;Total;Misma provincia;""
16004 Albaladejo del Cuende;Total;Total;Misma comunidad autónoma, distinta provincia;""
16004 Albaladejo del Cuende;Total;Total;Otra comunidad autónoma;""
16004 Albaladejo del Cuende;Total;Total;Extranjero;""
16005 Albalate de las Nogueras;Total;Total;Misma provincia;""
16005 Albalate de las Nogueras;Total;Total;Misma comunidad autónoma, distinta provincia;""
16005 Albalate de las Nogueras;Total;Total;Otra comunidad autónoma;""
16005 Albalate de las Nogueras;Total;Total;Extranjero;""
16006 Albendea;Total;Total;Misma provincia;""
16006 Albendea;Total;Total;Misma comunidad autónoma, distinta provincia;""
16006 Albendea;Total;Total;Otra comunidad autónoma;""
16006 Albendea;Total;Total;Extranjero;""
16007 Alberca de Záncara, La;Total;Total;Misma provincia;""
16007 Alberca de Záncara, La;Total;Total;Misma comunidad autónoma, distinta provincia;""
16007 Alberca de Záncara, La;Total;Total;Otra comunidad autónoma;""
16007 Alberca de Záncara, La;Total;Total;Extranjero;""
16008 Alcalá de la Vega;Total;Total;Misma provincia;""
16008 Alcalá de la Vega;Total;Total;Misma comunidad autónoma, distinta provincia;""
16008 Alcalá de la Vega;Total;Total;Otra comunidad autónoma;""
16008 Alcalá de la Vega;Total;Total;Extranjero;""
16009 Alcantud;Total;Total;Misma provincia;""
16009 Alcantud;Total;Total;Misma comunidad autónoma, distinta provincia;""
16009 Alcantud;Total;Total;Otra comunidad autónoma;""
16009 Alcantud;Total;Total;Extranjero;""
16010 Alcázar del Rey;Total;Total;Misma provincia;""
16010 Alcázar del Rey;Total;Total;Misma comunidad autónoma, distinta provincia;""
16010 Alcázar del Rey;Total;Total;Otra comunidad autónoma;""
16010 Alcázar del Rey;Total;Total;Extranjero;""
16011 Alcohujate;Total;Total;Misma provincia;""
16011 Alcohujate;Total;Total;Misma comunidad autónoma, distinta provincia;""
16011 Alcohujate;Total;Total;Otra comunidad autónoma;""
16011 Alcohujate;Total;Total;Extranjero;""
16012 Alconchel de la Estrella;Total;Total;Misma provincia;""
16012 Alconchel de la Estrella;Total;Total;Misma comunidad autónoma, distinta provincia;""
16012 Alconchel de la Estrella;Total;Total;Otra comunidad autónoma;""
16012 Alconchel de la Estrella;Total;Total;Extranjero;""
16013 Algarra;Total;Total;Misma provincia;""
16013 Algarra;Total;Total;Misma comunidad autónoma, distinta provincia;""
16013 Algarra;Total;Total;Otra comunidad autónoma;""
16013 Algarra;Total;Total;Extranjero;""
16014 Aliaguilla;Total;Total;Misma provincia;""
16014 Aliaguilla;Total;Total;Misma comunidad autónoma, distinta provincia;""
16014 Aliaguilla;Total;Total;Otra comunidad autónoma;""
16014 Aliaguilla;Total;Total;Extranjero;""
16015 Almarcha, La;Total;Total;Misma provincia;""
16015 Almarcha, La;Total;Total;Misma comunidad autónoma, distinta provincia;""
16015 Almarcha, La;Total;Total;Otra comunidad autónoma;""
16015 Almarcha, La;Total;Total;Extranjero;""
