Municipio;Nacionalidad;Sexo;Destino;Total
19001 Abánades;Total;Total;Misma provincia;0
19001 Abánades;Total;Total;Misma comunidad autónoma, distinta provincia;0
19001 Abánades;Total;Total;Otra comunidad autónoma;0
19001 Abánades;Total;Total;Extranjero;0
19002 Ablanque;Total;Total;Misma provincia;0
19002 Ablanque;Total;Total;Misma comunidad autónoma, distinta provincia;0
19002 Ablanque;Total;Total;Otra comunidad autónoma;2
19002 Ablanque;Total;Total;Extranjero;0
19003 Adobes;Total;Total;Misma provincia;1
19003 Adobes;Total;Total;Misma comunidad autónoma, distinta provincia;1
19003 Adobes;Total;Total;Otra comunidad autónoma;2
19003 Adobes;Total;Total;Extranjero;0
19004 Alaminos;Total;Total;Misma provincia;2
19004 Alaminos;Total;Total;Misma comunidad autónoma, distinta provincia;0
19004 Alaminos;Total;Total;Otra comunidad autónoma;0
19004 Alaminos;Total;Total;Extranjero;0
19005 Alarilla;Total;Total;Misma provincia;2
19005 Alarilla;Total;Total;Misma comunidad autónoma, distinta provincia;0
19005 Alarilla;Total;Total;Otra comunidad autónoma;5
19005 Alarilla;Total;Total;Extranjero;0
19006 Albalate de Zorita;Total;Total;Misma provincia;15
19006 Albalate de Zorita;Total;Total;Misma comunidad autónoma, distinta provincia;2
19006 Albalate de Zorita;Total;Total;Otra comunidad autónoma;15
19006 Albalate de Zorita;Total;Total;Extranjero;3
19007 Albares;Total;Total;Misma provincia;6
19007 Albares;Total;Total;Misma comunidad autónoma, distinta provincia;1
19007 Albares;Total;Total;Otra comunidad autónoma;9
19007 Albares;Total;Total;Extranjero;0
19008 Albendiego;Total;Total;Misma provincia;1
19008 Albendiego;Total;Total;Misma comunidad autónoma, distinta provincia;0
19008 Albendiego;Total;Total;Otra comunidad autónoma;7
19008 Albendiego;Total;Total;Extranjero;0
19009 Alcocer;Total;Total;Misma provincia;5
19009 Alcocer;Total;Total;Misma comunidad autónoma, distinta provincia;3
19009 Alcocer;Total;Total;Otra comunidad autónoma;13
19009 Alcocer;Total;Total;Extranjero;0
19010 Alcolea de las Peñas;Total;Total;Misma provincia;0
19010 Alcolea de las Peñas;Total;Total;Misma comunidad autónoma, distinta provincia;0
19010 Alcolea de las Peñas;Total;Total;Otra comunidad autónoma;0
19010 Alcolea de las Peñas;Total;Total;Extranjero;0
19011 Alcolea del Pinar;Total;Total;Misma provincia;15
19011 Alcolea del Pinar;Total;Total;Misma comunidad autónoma, distinta provincia;0
19011 Alcolea del Pinar;Total;Total;Otra comunidad autónoma;6
19011 Alcolea del Pinar;Total;Total;Extranjero;1
19013 Alcoroches;Total;Total;Misma provincia;0
