Municipio;Nacionalidad;Sexo;Destino;Total
45001 Ajofrín;Total;Total;Misma provincia;30
45001 Ajofrín;Total;Total;Misma comunidad autónoma, distinta provincia;1
45001 Ajofrín;Total;Total;Otra comunidad autónoma;21
45001 Ajofrín;Total;Total;Extranjero;0
45002 Alameda de la Sagra;Total;Total;Misma provincia;78
45002 Alameda de la Sagra;Total;Total;Misma comunidad autónoma, distinta provincia;8
45002 Alameda de la Sagra;Total;Total;Otra comunidad autónoma;83
45002 Alameda de la Sagra;Total;Total;Extranjero;8
45003 Albarreal de Tajo;Total;Total;Misma provincia;20
45003 Albarreal de Tajo;Total;Total;Misma comunidad autónoma, distinta provincia;1
45003 Albarreal de Tajo;Total;Total;Otra comunidad autónoma;7
45003 Albarreal de Tajo;Total;Total;Extranjero;5
45004 Alcabón;Total;Total;Misma provincia;27
45004 Alcabón;Total;Total;Misma comunidad autónoma, distinta provincia;0
45004 Alcabón;Total;Total;Otra comunidad autónoma;4
45004 Alcabón;Total;Total;Extranjero;0
45005 Alcañizo;Total;Total;Misma provincia;2
45005 Alcañizo;Total;Total;Misma comunidad autónoma, distinta provincia;0
45005 Alcañizo;Total;Total;Otra comunidad autónoma;4
45005 Alcañizo;Total;Total;Extranjero;0
45006 Alcaudete de la Jara;Total;Total;Misma provincia;49
45006 Alcaudete de la Jara;Total;Total;Misma comunidad autónoma, distinta provincia;2
45006 Alcaudete de la Jara;Total;Total;Otra comunidad autónoma;18
45006 Alcaudete de la Jara;Total;Total;Extranjero;6
45007 Alcolea de Tajo;Total;Total;Misma provincia;17
45007 Alcolea de Tajo;Total;Total;Misma comunidad autónoma, distinta provincia;0
45007 Alcolea de Tajo;Total;Total;Otra comunidad autónoma;8
45007 Alcolea de Tajo;Total;Total;Extranjero;0
45008 Aldea en Cabo;Total;Total;Misma provincia;1
45008 Aldea en Cabo;Total;Total;Misma comunidad autónoma, distinta provincia;0
45008 Aldea en Cabo;Total;Total;Otra comunidad autónoma;5
45008 Aldea en Cabo;Total;Total;Extranjero;0
45009 Aldeanueva de Barbarroya;Total;Total;Misma provincia;10
45009 Aldeanueva de Barbarroya;Total;Total;Misma comunidad autónoma, distinta provincia;0
45009 Aldeanueva de Barbarroya;Total;Total;Otra comunidad autónoma;5
45009 Aldeanueva de Barbarroya;Total;Total;Extranjero;0
45010 Aldeanueva de San Bartolomé;Total;Total;Misma provincia;8
45010 Aldeanueva de San Bartolomé;Total;Total;Misma comunidad autónoma, distinta provincia;1
45010 Aldeanueva de San Bartolomé;Total;Total;Otra comunidad autónoma;6
45010 Aldeanueva de San Bartolomé;Total;Total;Extranjero;0
45011 Almendral de la Cañada;Total;Total;Misma provincia;3
45011 Almendral de la Cañada;Total;Total;Misma comunidad autónoma, distinta provincia;0
45011 Almendral de la Cañada;Total;Total;Otra comunidad autónoma;5
45011 Almendral de la Cañada;Total;Total;Extranjero;0
45012 Almonacid de Toledo;Total;Total;Misma provincia;13
45012 Almonacid de Toledo;Total;Total;Misma comunidad autónoma, distinta provincia;0
45012 Almonacid de Toledo;Total;Total;Otra comunidad autónoma;16
45012 Almonacid de Toledo;Total;Total;Extranjero;4
45013 Almorox;Total;Total;Misma provincia;9
45013 Almorox;Total;Total;Misma comunidad autónoma, distinta provincia;6
45013 Almorox;Total;Total;Otra comunidad autónoma;68
45013 Almorox;Total;Total;Extranjero;0
45014 Añover de Tajo;Total;Total;Misma provincia;77
45014 Añover de Tajo;Total;Total;Misma comunidad autónoma, distinta provincia;3
45014 Añover de Tajo;Total;Total;Otra comunidad autónoma;60
45014 Añover de Tajo;Total;Total;Extranjero;21
45015 Arcicóllar;Total;Total;Misma provincia;22
45015 Arcicóllar;Total;Total;Misma comunidad autónoma, distinta provincia;1
45015 Arcicóllar;Total;Total;Otra comunidad autónoma;18
45015 Arcicóllar;Total;Total;Extranjero;1
45016 Argés;Total;Total;Misma provincia;187
45016 Argés;Total;Total;Misma comunidad autónoma, distinta provincia;6
45016 Argés;Total;Total;Otra comunidad autónoma;92
45016 Argés;Total;Total;Extranjero;33
45017 Azután;Total;Total;Misma provincia;4
45017 Azután;Total;Total;Misma comunidad autónoma, distinta provincia;0
45017 Azután;Total;Total;Otra comunidad autónoma;0
45017 Azután;Total;Total;Extranjero;0
45018 Barcience;Total;Total;Misma provincia;32
45018 Barcience;Total;Total;Misma comunidad autónoma, distinta provincia;1
45018 Barcience;Total;Total;Otra comunidad autónoma;30
45018 Barcience;Total;Total;Extranjero;1
45019 Bargas;Total;Total;Misma provincia;269
45019 Bargas;Total;Total;Misma comunidad autónoma, distinta provincia;22
45019 Bargas;Total;Total;Otra comunidad autónoma;240
45019 Bargas;Total;Total;Extranjero;119
45020 Belvís de la Jara;Total;Total;Misma provincia;27
45020 Belvís de la Jara;Total;Total;Misma comunidad autónoma, distinta provincia;4
45020 Belvís de la Jara;Total;Total;Otra comunidad autónoma;14
45020 Belvís de la Jara;Total;Total;Extranjero;8
45021 Borox;Total;Total;Misma provincia;68
45021 Borox;Total;Total;Misma comunidad autónoma, distinta provincia;14
45021 Borox;Total;Total;Otra comunidad autónoma;122
45021 Borox;Total;Total;Extranjero;21
45022 Buenaventura;Total;Total;Misma provincia;3
45022 Buenaventura;Total;Total;Misma comunidad autónoma, distinta provincia;0
45022 Buenaventura;Total;Total;Otra comunidad autónoma;10
45022 Buenaventura;Total;Total;Extranjero;0
45023 Burguillos de Toledo;Total;Total;Misma provincia;93
45023 Burguillos de Toledo;Total;Total;Misma comunidad autónoma, distinta provincia;12
45023 Burguillos de Toledo;Total;Total;Otra comunidad autónoma;34
45023 Burguillos de Toledo;Total;Total;Extranjero;3
45024 Burujón;Total;Total;Misma provincia;22
45024 Burujón;Total;Total;Misma comunidad autónoma, distinta provincia;2
45024 Burujón;Total;Total;Otra comunidad autónoma;11
45024 Burujón;Total;Total;Extranjero;1
45025 Cabañas de la Sagra;Total;Total;Misma provincia;36
45025 Cabañas de la Sagra;Total;Total;Misma comunidad autónoma, distinta provincia;1
45025 Cabañas de la Sagra;Total;Total;Otra comunidad autónoma;44
45025 Cabañas de la Sagra;Total;Total;Extranjero;1
45026 Cabañas de Yepes;Total;Total;Misma provincia;7
45026 Cabañas de Yepes;Total;Total;Misma comunidad autónoma, distinta provincia;0
45026 Cabañas de Yepes;Total;Total;Otra comunidad autónoma;16
45026 Cabañas de Yepes;Total;Total;Extranjero;0
45027 Cabezamesada;Total;Total;Misma provincia;2
45027 Cabezamesada;Total;Total;Misma comunidad autónoma, distinta provincia;2
45027 Cabezamesada;Total;Total;Otra comunidad autónoma;5
45027 Cabezamesada;Total;Total;Extranjero;0
45028 Calera y Chozas;Total;Total;Misma provincia;79
45028 Calera y Chozas;Total;Total;Misma comunidad autónoma, distinta provincia;11
45028 Calera y Chozas;Total;Total;Otra comunidad autónoma;46
45028 Calera y Chozas;Total;Total;Extranjero;23
45029 Caleruela;Total;Total;Misma provincia;1
45029 Caleruela;Total;Total;Misma comunidad autónoma, distinta provincia;0
45029 Caleruela;Total;Total;Otra comunidad autónoma;3
45029 Caleruela;Total;Total;Extranjero;0
45030 Calzada de Oropesa;Total;Total;Misma provincia;7
45030 Calzada de Oropesa;Total;Total;Misma comunidad autónoma, distinta provincia;0
45030 Calzada de Oropesa;Total;Total;Otra comunidad autónoma;8
45030 Calzada de Oropesa;Total;Total;Extranjero;0
45031 Camarena;Total;Total;Misma provincia;73
45031 Camarena;Total;Total;Misma comunidad autónoma, distinta provincia;3
45031 Camarena;Total;Total;Otra comunidad autónoma;168
45031 Camarena;Total;Total;Extranjero;29
45032 Camarenilla;Total;Total;Misma provincia;15
45032 Camarenilla;Total;Total;Misma comunidad autónoma, distinta provincia;1
45032 Camarenilla;Total;Total;Otra comunidad autónoma;8
45032 Camarenilla;Total;Total;Extranjero;0
45033 Campillo de la Jara, El;Total;Total;Misma provincia;3
45033 Campillo de la Jara, El;Total;Total;Misma comunidad autónoma, distinta provincia;3
45033 Campillo de la Jara, El;Total;Total;Otra comunidad autónoma;7
45033 Campillo de la Jara, El;Total;Total;Extranjero;0
45034 Camuñas;Total;Total;Misma provincia;23
45034 Camuñas;Total;Total;Misma comunidad autónoma, distinta provincia;5
45034 Camuñas;Total;Total;Otra comunidad autónoma;35
45034 Camuñas;Total;Total;Extranjero;18
45035 Cardiel de los Montes;Total;Total;Misma provincia;12
45035 Cardiel de los Montes;Total;Total;Misma comunidad autónoma, distinta provincia;1
45035 Cardiel de los Montes;Total;Total;Otra comunidad autónoma;15
45035 Cardiel de los Montes;Total;Total;Extranjero;0
45036 Carmena;Total;Total;Misma provincia;14
45036 Carmena;Total;Total;Misma comunidad autónoma, distinta provincia;0
45036 Carmena;Total;Total;Otra comunidad autónoma;10
45036 Carmena;Total;Total;Extranjero;6
45037 Carpio de Tajo, El;Total;Total;Misma provincia;36
45037 Carpio de Tajo, El;Total;Total;Misma comunidad autónoma, distinta provincia;1
45037 Carpio de Tajo, El;Total;Total;Otra comunidad autónoma;34
45037 Carpio de Tajo, El;Total;Total;Extranjero;4
45038 Carranque;Total;Total;Misma provincia;83
45038 Carranque;Total;Total;Misma comunidad autónoma, distinta provincia;7
45038 Carranque;Total;Total;Otra comunidad autónoma;224
45038 Carranque;Total;Total;Extranjero;1
45039 Carriches;Total;Total;Misma provincia;1
45039 Carriches;Total;Total;Misma comunidad autónoma, distinta provincia;0
45039 Carriches;Total;Total;Otra comunidad autónoma;2
45039 Carriches;Total;Total;Extranjero;0
