Municipios;Nacionalidad;Sexo;Destino;Total
02001-Abengibre;Total;Total;Misma provincia;14
02001-Abengibre;Total;Total;Misma CCAA distinta provincia;3
02001-Abengibre;Total;Total;Otra CCAA;21
02001-Abengibre;Total;Total;Extranjero;0
02002-Alatoz;Total;Total;Misma provincia;8
02002-Alatoz;Total;Total;Misma CCAA distinta provincia;0
02002-Alatoz;Total;Total;Otra CCAA;5
02002-Alatoz;Total;Total;Extranjero;0
02003-Albacete;Total;Total;Misma provincia;1.006
02003-Albacete;Total;Total;Misma CCAA distinta provincia;386
02003-Albacete;Total;Total;Otra CCAA;2.386
02003-Albacete;Total;Total;Extranjero;1.121
02004-Albatana;Total;Total;Misma provincia;15
02004-Albatana;Total;Total;Misma CCAA distinta provincia;0
02004-Albatana;Total;Total;Otra CCAA;13
02004-Albatana;Total;Total;Extranjero;0
02005-Alborea;Total;Total;Misma provincia;18
02005-Alborea;Total;Total;Misma CCAA distinta provincia;1
02005-Alborea;Total;Total;Otra CCAA;13
02005-Alborea;Total;Total;Extranjero;15
02006-Alcadozo;Total;Total;Misma provincia;18
02006-Alcadozo;Total;Total;Misma CCAA distinta provincia;0
02006-Alcadozo;Total;Total;Otra CCAA;5
02006-Alcadozo;Total;Total;Extranjero;0
02007-Alcalá del Júcar;Total;Total;Misma provincia;20
02007-Alcalá del Júcar;Total;Total;Misma CCAA distinta provincia;3
02007-Alcalá del Júcar;Total;Total;Otra CCAA;32
02007-Alcalá del Júcar;Total;Total;Extranjero;3
02008-Alcaraz;Total;Total;Misma provincia;34
02008-Alcaraz;Total;Total;Misma CCAA distinta provincia;14
02008-Alcaraz;Total;Total;Otra CCAA;31
02008-Alcaraz;Total;Total;Extranjero;0
02009-Almansa;Total;Total;Misma provincia;135
02009-Almansa;Total;Total;Misma CCAA distinta provincia;28
02009-Almansa;Total;Total;Otra CCAA;417
02009-Almansa;Total;Total;Extranjero;110
02010-Alpera;Total;Total;Misma provincia;25
02010-Alpera;Total;Total;Misma CCAA distinta provincia;2
02010-Alpera;Total;Total;Otra CCAA;39
02010-Alpera;Total;Total;Extranjero;2
02011-Ayna;Total;Total;Misma provincia;34
02011-Ayna;Total;Total;Misma CCAA distinta provincia;0
02011-Ayna;Total;Total;Otra CCAA;16
02011-Ayna;Total;Total;Extranjero;0
02012-Balazote;Total;Total;Misma provincia;33
02012-Balazote;Total;Total;Misma CCAA distinta provincia;5
02012-Balazote;Total;Total;Otra CCAA;36
02012-Balazote;Total;Total;Extranjero;0
02013-Balsa de Ves;Total;Total;Misma provincia;6
02013-Balsa de Ves;Total;Total;Misma CCAA distinta provincia;0
02013-Balsa de Ves;Total;Total;Otra CCAA;12
02013-Balsa de Ves;Total;Total;Extranjero;0
02014-Ballestero (El);Total;Total;Misma provincia;10
02014-Ballestero (El);Total;Total;Misma CCAA distinta provincia;2
02014-Ballestero (El);Total;Total;Otra CCAA;9
02014-Ballestero (El);Total;Total;Extranjero;1
02015-Barrax;Total;Total;Misma provincia;57
02015-Barrax;Total;Total;Misma CCAA distinta provincia;2
02015-Barrax;Total;Total;Otra CCAA;17
02015-Barrax;Total;Total;Extranjero;0
02016-Bienservida;Total;Total;Misma provincia;11
02016-Bienservida;Total;Total;Misma CCAA distinta provincia;0
02016-Bienservida;Total;Total;Otra CCAA;13
02016-Bienservida;Total;Total;Extranjero;0
02017-Bogarra;Total;Total;Misma provincia;13
02017-Bogarra;Total;Total;Misma CCAA distinta provincia;0
02017-Bogarra;Total;Total;Otra CCAA;13
02017-Bogarra;Total;Total;Extranjero;0
02018-Bonete;Total;Total;Misma provincia;23
02018-Bonete;Total;Total;Misma CCAA distinta provincia;1
02018-Bonete;Total;Total;Otra CCAA;11
02018-Bonete;Total;Total;Extranjero;11
02019-Bonillo (El);Total;Total;Misma provincia;36
02019-Bonillo (El);Total;Total;Misma CCAA distinta provincia;8
02019-Bonillo (El);Total;Total;Otra CCAA;21
02019-Bonillo (El);Total;Total;Extranjero;9
02020-Carcelén;Total;Total;Misma provincia;19
02020-Carcelén;Total;Total;Misma CCAA distinta provincia;0
02020-Carcelén;Total;Total;Otra CCAA;25
02020-Carcelén;Total;Total;Extranjero;1
02021-Casas de Juan Núñez;Total;Total;Misma provincia;60
02021-Casas de Juan Núñez;Total;Total;Misma CCAA distinta provincia;2
02021-Casas de Juan Núñez;Total;Total;Otra CCAA;21
02021-Casas de Juan Núñez;Total;Total;Extranjero;2
02022-Casas de Lázaro;Total;Total;Misma provincia;21
02022-Casas de Lázaro;Total;Total;Misma CCAA distinta provincia;0
02022-Casas de Lázaro;Total;Total;Otra CCAA;9
02022-Casas de Lázaro;Total;Total;Extranjero;0
02023-Casas de Ves;Total;Total;Misma provincia;14
02023-Casas de Ves;Total;Total;Misma CCAA distinta provincia;3
02023-Casas de Ves;Total;Total;Otra CCAA;19
02023-Casas de Ves;Total;Total;Extranjero;1
02024-Casas-Ibáñez;Total;Total;Misma provincia;65
02024-Casas-Ibáñez;Total;Total;Misma CCAA distinta provincia;3
02024-Casas-Ibáñez;Total;Total;Otra CCAA;80
02024-Casas-Ibáñez;Total;Total;Extranjero;31
02025-Caudete;Total;Total;Misma provincia;39
02025-Caudete;Total;Total;Misma CCAA distinta provincia;8
02025-Caudete;Total;Total;Otra CCAA;285
02025-Caudete;Total;Total;Extranjero;36
02026-Cenizate;Total;Total;Misma provincia;15
02026-Cenizate;Total;Total;Misma CCAA distinta provincia;1
02026-Cenizate;Total;Total;Otra CCAA;21
02026-Cenizate;Total;Total;Extranjero;6
02027-Corral-Rubio;Total;Total;Misma provincia;18
02027-Corral-Rubio;Total;Total;Misma CCAA distinta provincia;1
02027-Corral-Rubio;Total;Total;Otra CCAA;2
02027-Corral-Rubio;Total;Total;Extranjero;0
02028-Cotillas;Total;Total;Misma provincia;3
02028-Cotillas;Total;Total;Misma CCAA distinta provincia;0
02028-Cotillas;Total;Total;Otra CCAA;6
02028-Cotillas;Total;Total;Extranjero;0
02029-Chinchilla de Monte-Aragón;Total;Total;Misma provincia;96
02029-Chinchilla de Monte-Aragón;Total;Total;Misma CCAA distinta provincia;11
02029-Chinchilla de Monte-Aragón;Total;Total;Otra CCAA;49
02029-Chinchilla de Monte-Aragón;Total;Total;Extranjero;2
02030-Elche de la Sierra;Total;Total;Misma provincia;40
02030-Elche de la Sierra;Total;Total;Misma CCAA distinta provincia;2
02030-Elche de la Sierra;Total;Total;Otra CCAA;75
02030-Elche de la Sierra;Total;Total;Extranjero;16
02031-Férez;Total;Total;Misma provincia;1
02031-Férez;Total;Total;Misma CCAA distinta provincia;0
02031-Férez;Total;Total;Otra CCAA;19
02031-Férez;Total;Total;Extranjero;0
02032-Fuensanta;Total;Total;Misma provincia;8
02032-Fuensanta;Total;Total;Misma CCAA distinta provincia;1
02032-Fuensanta;Total;Total;Otra CCAA;18
02032-Fuensanta;Total;Total;Extranjero;0
02033-Fuente-Álamo;Total;Total;Misma provincia;28
02033-Fuente-Álamo;Total;Total;Misma CCAA distinta provincia;2
02033-Fuente-Álamo;Total;Total;Otra CCAA;40
02033-Fuente-Álamo;Total;Total;Extranjero;25
02034-Fuentealbilla;Total;Total;Misma provincia;39
02034-Fuentealbilla;Total;Total;Misma CCAA distinta provincia;1
02034-Fuentealbilla;Total;Total;Otra CCAA;25
02034-Fuentealbilla;Total;Total;Extranjero;17
02035-Gineta (La);Total;Total;Misma provincia;68
02035-Gineta (La);Total;Total;Misma CCAA distinta provincia;5
02035-Gineta (La);Total;Total;Otra CCAA;30
02035-Gineta (La);Total;Total;Extranjero;12
02036-Golosalvo;Total;Total;Misma provincia;6
02036-Golosalvo;Total;Total;Misma CCAA distinta provincia;0
02036-Golosalvo;Total;Total;Otra CCAA;3
02036-Golosalvo;Total;Total;Extranjero;0
02037-Hellín;Total;Total;Misma provincia;189
02037-Hellín;Total;Total;Misma CCAA distinta provincia;45
02037-Hellín;Total;Total;Otra CCAA;583
02037-Hellín;Total;Total;Extranjero;63
02038-Herrera (La);Total;Total;Misma provincia;7
02038-Herrera (La);Total;Total;Misma CCAA distinta provincia;1
02038-Herrera (La);Total;Total;Otra CCAA;4
02038-Herrera (La);Total;Total;Extranjero;0
02039-Higueruela;Total;Total;Misma provincia;27
02039-Higueruela;Total;Total;Misma CCAA distinta provincia;2
02039-Higueruela;Total;Total;Otra CCAA;19
02039-Higueruela;Total;Total;Extranjero;0
02040-Hoya-Gonzalo;Total;Total;Misma provincia;17
02040-Hoya-Gonzalo;Total;Total;Misma CCAA distinta provincia;0
02040-Hoya-Gonzalo;Total;Total;Otra CCAA;7
02040-Hoya-Gonzalo;Total;Total;Extranjero;0
02041-Jorquera;Total;Total;Misma provincia;18
02041-Jorquera;Total;Total;Misma CCAA distinta provincia;1
02041-Jorquera;Total;Total;Otra CCAA;10
02041-Jorquera;Total;Total;Extranjero;1
02042-Letur;Total;Total;Misma provincia;13
02042-Letur;Total;Total;Misma CCAA distinta provincia;0
02042-Letur;Total;Total;Otra CCAA;37
02042-Letur;Total;Total;Extranjero;5
02043-Lezuza;Total;Total;Misma provincia;34
02043-Lezuza;Total;Total;Misma CCAA distinta provincia;2
02043-Lezuza;Total;Total;Otra CCAA;10
02043-Lezuza;Total;Total;Extranjero;3
02044-Liétor;Total;Total;Misma provincia;27
02044-Liétor;Total;Total;Misma CCAA distinta provincia;1
02044-Liétor;Total;Total;Otra CCAA;22
02044-Liétor;Total;Total;Extranjero;0
02045-Madrigueras;Total;Total;Misma provincia;74
02045-Madrigueras;Total;Total;Misma CCAA distinta provincia;9
02045-Madrigueras;Total;Total;Otra CCAA;47
02045-Madrigueras;Total;Total;Extranjero;19
02046-Mahora;Total;Total;Misma provincia;29
02046-Mahora;Total;Total;Misma CCAA distinta provincia;1
02046-Mahora;Total;Total;Otra CCAA;19
02046-Mahora;Total;Total;Extranjero;0
02047-Masegoso;Total;Total;Misma provincia;0
02047-Masegoso;Total;Total;Misma CCAA distinta provincia;0
