Municipios;Nacionalidad;Sexo;Destino;Total
02001-Abengibre;Total;Total;Misma provincia;19
02001-Abengibre;Total;Total;Misma CCAA distinta provincia;1
02001-Abengibre;Total;Total;Otra CCAA;12
02001-Abengibre;Total;Total;Extranjero;3
02002-Alatoz;Total;Total;Misma provincia;7
02002-Alatoz;Total;Total;Misma CCAA distinta provincia;2
02002-Alatoz;Total;Total;Otra CCAA;2
02002-Alatoz;Total;Total;Extranjero;3
02003-Albacete;Total;Total;Misma provincia;1.054
02003-Albacete;Total;Total;Misma CCAA distinta provincia;410
02003-Albacete;Total;Total;Otra CCAA;2.332
02003-Albacete;Total;Total;Extranjero;1.094
02004-Albatana;Total;Total;Misma provincia;11
02004-Albatana;Total;Total;Misma CCAA distinta provincia;1
02004-Albatana;Total;Total;Otra CCAA;20
02004-Albatana;Total;Total;Extranjero;0
02005-Alborea;Total;Total;Misma provincia;18
02005-Alborea;Total;Total;Misma CCAA distinta provincia;2
02005-Alborea;Total;Total;Otra CCAA;9
02005-Alborea;Total;Total;Extranjero;33
02006-Alcadozo;Total;Total;Misma provincia;22
02006-Alcadozo;Total;Total;Misma CCAA distinta provincia;0
02006-Alcadozo;Total;Total;Otra CCAA;3
02006-Alcadozo;Total;Total;Extranjero;0
02007-Alcalá del Júcar;Total;Total;Misma provincia;17
02007-Alcalá del Júcar;Total;Total;Misma CCAA distinta provincia;0
02007-Alcalá del Júcar;Total;Total;Otra CCAA;18
02007-Alcalá del Júcar;Total;Total;Extranjero;0
02008-Alcaraz;Total;Total;Misma provincia;29
02008-Alcaraz;Total;Total;Misma CCAA distinta provincia;5
02008-Alcaraz;Total;Total;Otra CCAA;17
02008-Alcaraz;Total;Total;Extranjero;1
02009-Almansa;Total;Total;Misma provincia;116
02009-Almansa;Total;Total;Misma CCAA distinta provincia;31
02009-Almansa;Total;Total;Otra CCAA;445
02009-Almansa;Total;Total;Extranjero;138
02010-Alpera;Total;Total;Misma provincia;27
02010-Alpera;Total;Total;Misma CCAA distinta provincia;3
02010-Alpera;Total;Total;Otra CCAA;43
02010-Alpera;Total;Total;Extranjero;1
02011-Ayna;Total;Total;Misma provincia;19
02011-Ayna;Total;Total;Misma CCAA distinta provincia;0
02011-Ayna;Total;Total;Otra CCAA;13
02011-Ayna;Total;Total;Extranjero;2
02012-Balazote;Total;Total;Misma provincia;17
02012-Balazote;Total;Total;Misma CCAA distinta provincia;1
02012-Balazote;Total;Total;Otra CCAA;26
02012-Balazote;Total;Total;Extranjero;0
02013-Balsa de Ves;Total;Total;Misma provincia;3
02013-Balsa de Ves;Total;Total;Misma CCAA distinta provincia;0
02013-Balsa de Ves;Total;Total;Otra CCAA;8
02013-Balsa de Ves;Total;Total;Extranjero;0
02014-Ballestero, El;Total;Total;Misma provincia;12
02014-Ballestero, El;Total;Total;Misma CCAA distinta provincia;5
02014-Ballestero, El;Total;Total;Otra CCAA;2
02014-Ballestero, El;Total;Total;Extranjero;3
02015-Barrax;Total;Total;Misma provincia;39
02015-Barrax;Total;Total;Misma CCAA distinta provincia;1
02015-Barrax;Total;Total;Otra CCAA;10
02015-Barrax;Total;Total;Extranjero;0
02016-Bienservida;Total;Total;Misma provincia;17
02016-Bienservida;Total;Total;Misma CCAA distinta provincia;1
02016-Bienservida;Total;Total;Otra CCAA;19
02016-Bienservida;Total;Total;Extranjero;0
02017-Bogarra;Total;Total;Misma provincia;21
02017-Bogarra;Total;Total;Misma CCAA distinta provincia;0
02017-Bogarra;Total;Total;Otra CCAA;8
02017-Bogarra;Total;Total;Extranjero;0
02018-Bonete;Total;Total;Misma provincia;45
02018-Bonete;Total;Total;Misma CCAA distinta provincia;1
02018-Bonete;Total;Total;Otra CCAA;28
02018-Bonete;Total;Total;Extranjero;1
02019-Bonillo, El;Total;Total;Misma provincia;21
02019-Bonillo, El;Total;Total;Misma CCAA distinta provincia;2
02019-Bonillo, El;Total;Total;Otra CCAA;22
02019-Bonillo, El;Total;Total;Extranjero;5
02020-Carcelén;Total;Total;Misma provincia;10
02020-Carcelén;Total;Total;Misma CCAA distinta provincia;1
02020-Carcelén;Total;Total;Otra CCAA;6
02020-Carcelén;Total;Total;Extranjero;1
02021-Casas de Juan Núñez;Total;Total;Misma provincia;59
02021-Casas de Juan Núñez;Total;Total;Misma CCAA distinta provincia;4
02021-Casas de Juan Núñez;Total;Total;Otra CCAA;25
02021-Casas de Juan Núñez;Total;Total;Extranjero;8
02022-Casas de Lázaro;Total;Total;Misma provincia;15
02022-Casas de Lázaro;Total;Total;Misma CCAA distinta provincia;0
02022-Casas de Lázaro;Total;Total;Otra CCAA;3
02022-Casas de Lázaro;Total;Total;Extranjero;0
02023-Casas de Ves;Total;Total;Misma provincia;8
02023-Casas de Ves;Total;Total;Misma CCAA distinta provincia;0
02023-Casas de Ves;Total;Total;Otra CCAA;25
02023-Casas de Ves;Total;Total;Extranjero;2
02024-Casas-Ibáñez;Total;Total;Misma provincia;76
02024-Casas-Ibáñez;Total;Total;Misma CCAA distinta provincia;18
02024-Casas-Ibáñez;Total;Total;Otra CCAA;69
02024-Casas-Ibáñez;Total;Total;Extranjero;52
02025-Caudete;Total;Total;Misma provincia;31
02025-Caudete;Total;Total;Misma CCAA distinta provincia;17
02025-Caudete;Total;Total;Otra CCAA;281
02025-Caudete;Total;Total;Extranjero;26
02026-Cenizate;Total;Total;Misma provincia;10
02026-Cenizate;Total;Total;Misma CCAA distinta provincia;2
02026-Cenizate;Total;Total;Otra CCAA;14
02026-Cenizate;Total;Total;Extranjero;4
02027-Corral-Rubio;Total;Total;Misma provincia;6
02027-Corral-Rubio;Total;Total;Misma CCAA distinta provincia;1
02027-Corral-Rubio;Total;Total;Otra CCAA;3
02027-Corral-Rubio;Total;Total;Extranjero;1
02028-Cotillas;Total;Total;Misma provincia;1
02028-Cotillas;Total;Total;Misma CCAA distinta provincia;0
02028-Cotillas;Total;Total;Otra CCAA;6
02028-Cotillas;Total;Total;Extranjero;0
02029-Chinchilla de Monte-Aragón;Total;Total;Misma provincia;110
02029-Chinchilla de Monte-Aragón;Total;Total;Misma CCAA distinta provincia;9
02029-Chinchilla de Monte-Aragón;Total;Total;Otra CCAA;59
02029-Chinchilla de Monte-Aragón;Total;Total;Extranjero;8
02030-Elche de la Sierra;Total;Total;Misma provincia;56
02030-Elche de la Sierra;Total;Total;Misma CCAA distinta provincia;2
02030-Elche de la Sierra;Total;Total;Otra CCAA;83
02030-Elche de la Sierra;Total;Total;Extranjero;10
02031-Férez;Total;Total;Misma provincia;11
02031-Férez;Total;Total;Misma CCAA distinta provincia;0
02031-Férez;Total;Total;Otra CCAA;17
02031-Férez;Total;Total;Extranjero;0
02032-Fuensanta;Total;Total;Misma provincia;5
02032-Fuensanta;Total;Total;Misma CCAA distinta provincia;1
02032-Fuensanta;Total;Total;Otra CCAA;9
02032-Fuensanta;Total;Total;Extranjero;0
02033-Fuente-Álamo;Total;Total;Misma provincia;14
02033-Fuente-Álamo;Total;Total;Misma CCAA distinta provincia;5
02033-Fuente-Álamo;Total;Total;Otra CCAA;51
02033-Fuente-Álamo;Total;Total;Extranjero;16
02034-Fuentealbilla;Total;Total;Misma provincia;22
02034-Fuentealbilla;Total;Total;Misma CCAA distinta provincia;8
02034-Fuentealbilla;Total;Total;Otra CCAA;17
02034-Fuentealbilla;Total;Total;Extranjero;32
02035-Gineta, La;Total;Total;Misma provincia;62
02035-Gineta, La;Total;Total;Misma CCAA distinta provincia;3
02035-Gineta, La;Total;Total;Otra CCAA;48
02035-Gineta, La;Total;Total;Extranjero;30
02036-Golosalvo;Total;Total;Misma provincia;1
02036-Golosalvo;Total;Total;Misma CCAA distinta provincia;0
02036-Golosalvo;Total;Total;Otra CCAA;2
02036-Golosalvo;Total;Total;Extranjero;0
02037-Hellín;Total;Total;Misma provincia;151
02037-Hellín;Total;Total;Misma CCAA distinta provincia;41
02037-Hellín;Total;Total;Otra CCAA;556
02037-Hellín;Total;Total;Extranjero;82
02038-Herrera, La;Total;Total;Misma provincia;8
02038-Herrera, La;Total;Total;Misma CCAA distinta provincia;3
02038-Herrera, La;Total;Total;Otra CCAA;1
02038-Herrera, La;Total;Total;Extranjero;0
02039-Higueruela;Total;Total;Misma provincia;25
02039-Higueruela;Total;Total;Misma CCAA distinta provincia;1
02039-Higueruela;Total;Total;Otra CCAA;14
02039-Higueruela;Total;Total;Extranjero;1
02040-Hoya-Gonzalo;Total;Total;Misma provincia;32
02040-Hoya-Gonzalo;Total;Total;Misma CCAA distinta provincia;0
02040-Hoya-Gonzalo;Total;Total;Otra CCAA;6
02040-Hoya-Gonzalo;Total;Total;Extranjero;1
02041-Jorquera;Total;Total;Misma provincia;5
02041-Jorquera;Total;Total;Misma CCAA distinta provincia;0
02041-Jorquera;Total;Total;Otra CCAA;7
02041-Jorquera;Total;Total;Extranjero;1
02042-Letur;Total;Total;Misma provincia;15
02042-Letur;Total;Total;Misma CCAA distinta provincia;0
02042-Letur;Total;Total;Otra CCAA;14
02042-Letur;Total;Total;Extranjero;2
02043-Lezuza;Total;Total;Misma provincia;45
02043-Lezuza;Total;Total;Misma CCAA distinta provincia;0
02043-Lezuza;Total;Total;Otra CCAA;11
02043-Lezuza;Total;Total;Extranjero;3
02044-Liétor;Total;Total;Misma provincia;24
02044-Liétor;Total;Total;Misma CCAA distinta provincia;0
02044-Liétor;Total;Total;Otra CCAA;48
02044-Liétor;Total;Total;Extranjero;1
02045-Madrigueras;Total;Total;Misma provincia;50
02045-Madrigueras;Total;Total;Misma CCAA distinta provincia;14
02045-Madrigueras;Total;Total;Otra CCAA;44
02045-Madrigueras;Total;Total;Extranjero;15
02046-Mahora;Total;Total;Misma provincia;23
02046-Mahora;Total;Total;Misma CCAA distinta provincia;0
02046-Mahora;Total;Total;Otra CCAA;11
02046-Mahora;Total;Total;Extranjero;1
02047-Masegoso;Total;Total;Misma provincia;2
02047-Masegoso;Total;Total;Misma CCAA distinta provincia;0
02047-Masegoso;Total;Total;Otra CCAA;2
02047-Masegoso;Total;Total;Extranjero;0
02048-Minaya;Total;Total;Misma provincia;18
02048-Minaya;Total;Total;Misma CCAA distinta provincia;3
02048-Minaya;Total;Total;Otra CCAA;22
02048-Minaya;Total;Total;Extranjero;3
02049-Molinicos;Total;Total;Misma provincia;33
02049-Molinicos;Total;Total;Misma CCAA distinta provincia;4
02049-Molinicos;Total;Total;Otra CCAA;19
02049-Molinicos;Total;Total;Extranjero;0
02050-Montalvos;Total;Total;Misma provincia;6
02050-Montalvos;Total;Total;Misma CCAA distinta provincia;0
02050-Montalvos;Total;Total;Otra CCAA;0
02050-Montalvos;Total;Total;Extranjero;0
02051-Montealegre del Castillo;Total;Total;Misma provincia;19
02051-Montealegre del Castillo;Total;Total;Misma CCAA distinta provincia;0
02051-Montealegre del Castillo;Total;Total;Otra CCAA;36
02051-Montealegre del Castillo;Total;Total;Extranjero;9
02052-Motilleja;Total;Total;Misma provincia;17
02052-Motilleja;Total;Total;Misma CCAA distinta provincia;0
02052-Motilleja;Total;Total;Otra CCAA;7
02052-Motilleja;Total;Total;Extranjero;0
02053-Munera;Total;Total;Misma provincia;32
02053-Munera;Total;Total;Misma CCAA distinta provincia;4
02053-Munera;Total;Total;Otra CCAA;27
02053-Munera;Total;Total;Extranjero;14
02054-Navas de Jorquera;Total;Total;Misma provincia;18
02054-Navas de Jorquera;Total;Total;Misma CCAA distinta provincia;1
02054-Navas de Jorquera;Total;Total;Otra CCAA;8
02054-Navas de Jorquera;Total;Total;Extranjero;4
02055-Nerpio;Total;Total;Misma provincia;8
02055-Nerpio;Total;Total;Misma CCAA distinta provincia;0
02055-Nerpio;Total;Total;Otra CCAA;45
02055-Nerpio;Total;Total;Extranjero;0
02056-Ontur;Total;Total;Misma provincia;30
02056-Ontur;Total;Total;Misma CCAA distinta provincia;3
02056-Ontur;Total;Total;Otra CCAA;17
02056-Ontur;Total;Total;Extranjero;21
02057-Ossa de Montiel;Total;Total;Misma provincia;8
02057-Ossa de Montiel;Total;Total;Misma CCAA distinta provincia;16
02057-Ossa de Montiel;Total;Total;Otra CCAA;30
02057-Ossa de Montiel;Total;Total;Extranjero;37
02058-Paterna del Madera;Total;Total;Misma provincia;17
02058-Paterna del Madera;Total;Total;Misma CCAA distinta provincia;0
02058-Paterna del Madera;Total;Total;Otra CCAA;11
02058-Paterna del Madera;Total;Total;Extranjero;0
02059-Peñascosa;Total;Total;Misma provincia;14
02059-Peñascosa;Total;Total;Misma CCAA distinta provincia;0
02059-Peñascosa;Total;Total;Otra CCAA;4
02059-Peñascosa;Total;Total;Extranjero;0
02060-Peñas de San Pedro;Total;Total;Misma provincia;36
02060-Peñas de San Pedro;Total;Total;Misma CCAA distinta provincia;0
02060-Peñas de San Pedro;Total;Total;Otra CCAA;9
02060-Peñas de San Pedro;Total;Total;Extranjero;0
