Municipio;Nacionalidad;Sexo;Destino;Total
02001-Abengibre;Total;Total;Misma provincia;22
02001-Abengibre;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02001-Abengibre;Total;Total;Otra COMUNIDAD AUTÓNOMA;7
02001-Abengibre;Total;Total;Extranjero;26
02002-Alatoz;Total;Total;Misma provincia;10
02002-Alatoz;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02002-Alatoz;Total;Total;Otra COMUNIDAD AUTÓNOMA;8
02002-Alatoz;Total;Total;Extranjero;0
02003-Albacete;Total;Total;Misma provincia;862
02003-Albacete;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;381
02003-Albacete;Total;Total;Otra COMUNIDAD AUTÓNOMA;2.280
02003-Albacete;Total;Total;Extranjero;688
02004-Albatana;Total;Total;Misma provincia;8
02004-Albatana;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02004-Albatana;Total;Total;Otra COMUNIDAD AUTÓNOMA;13
02004-Albatana;Total;Total;Extranjero;0
02005-Alborea;Total;Total;Misma provincia;14
02005-Alborea;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02005-Alborea;Total;Total;Otra COMUNIDAD AUTÓNOMA;15
02005-Alborea;Total;Total;Extranjero;0
02006-Alcadozo;Total;Total;Misma provincia;19
02006-Alcadozo;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;5
02006-Alcadozo;Total;Total;Otra COMUNIDAD AUTÓNOMA;9
02006-Alcadozo;Total;Total;Extranjero;0
02007-Alcalá del Júcar;Total;Total;Misma provincia;38
02007-Alcalá del Júcar;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02007-Alcalá del Júcar;Total;Total;Otra COMUNIDAD AUTÓNOMA;23
02007-Alcalá del Júcar;Total;Total;Extranjero;1
02008-Alcaraz;Total;Total;Misma provincia;34
02008-Alcaraz;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;2
02008-Alcaraz;Total;Total;Otra COMUNIDAD AUTÓNOMA;40
02008-Alcaraz;Total;Total;Extranjero;1
02009-Almansa;Total;Total;Misma provincia;103
02009-Almansa;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;26
02009-Almansa;Total;Total;Otra COMUNIDAD AUTÓNOMA;406
02009-Almansa;Total;Total;Extranjero;118
02010-Alpera;Total;Total;Misma provincia;16
02010-Alpera;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02010-Alpera;Total;Total;Otra COMUNIDAD AUTÓNOMA;38
02010-Alpera;Total;Total;Extranjero;1
02011-Ayna;Total;Total;Misma provincia;15
02011-Ayna;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02011-Ayna;Total;Total;Otra COMUNIDAD AUTÓNOMA;12
02011-Ayna;Total;Total;Extranjero;0
02012-Balazote;Total;Total;Misma provincia;33
02012-Balazote;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;5
02012-Balazote;Total;Total;Otra COMUNIDAD AUTÓNOMA;14
02012-Balazote;Total;Total;Extranjero;2
02013-Balsa de Ves;Total;Total;Misma provincia;4
02013-Balsa de Ves;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;5
02013-Balsa de Ves;Total;Total;Otra COMUNIDAD AUTÓNOMA;12
02013-Balsa de Ves;Total;Total;Extranjero;0
02014-Ballestero, El;Total;Total;Misma provincia;8
02014-Ballestero, El;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02014-Ballestero, El;Total;Total;Otra COMUNIDAD AUTÓNOMA;10
02014-Ballestero, El;Total;Total;Extranjero;0
02015-Barrax;Total;Total;Misma provincia;35
02015-Barrax;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;5
02015-Barrax;Total;Total;Otra COMUNIDAD AUTÓNOMA;17
02015-Barrax;Total;Total;Extranjero;1
02016-Bienservida;Total;Total;Misma provincia;14
02016-Bienservida;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02016-Bienservida;Total;Total;Otra COMUNIDAD AUTÓNOMA;11
02016-Bienservida;Total;Total;Extranjero;1
02017-Bogarra;Total;Total;Misma provincia;17
02017-Bogarra;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02017-Bogarra;Total;Total;Otra COMUNIDAD AUTÓNOMA;16
02017-Bogarra;Total;Total;Extranjero;1
02018-Bonete;Total;Total;Misma provincia;19
02018-Bonete;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;4
02018-Bonete;Total;Total;Otra COMUNIDAD AUTÓNOMA;11
02018-Bonete;Total;Total;Extranjero;7
02019-Bonillo, El;Total;Total;Misma provincia;35
02019-Bonillo, El;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;7
02019-Bonillo, El;Total;Total;Otra COMUNIDAD AUTÓNOMA;24
02019-Bonillo, El;Total;Total;Extranjero;3
02020-Carcelén;Total;Total;Misma provincia;13
02020-Carcelén;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02020-Carcelén;Total;Total;Otra COMUNIDAD AUTÓNOMA;9
02020-Carcelén;Total;Total;Extranjero;0
02021-Casas de Juan Núñez;Total;Total;Misma provincia;40
02021-Casas de Juan Núñez;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;4
02021-Casas de Juan Núñez;Total;Total;Otra COMUNIDAD AUTÓNOMA;16
02021-Casas de Juan Núñez;Total;Total;Extranjero;6
02022-Casas de Lázaro;Total;Total;Misma provincia;21
02022-Casas de Lázaro;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02022-Casas de Lázaro;Total;Total;Otra COMUNIDAD AUTÓNOMA;2
02022-Casas de Lázaro;Total;Total;Extranjero;4
02023-Casas de Ves;Total;Total;Misma provincia;10
02023-Casas de Ves;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;4
02023-Casas de Ves;Total;Total;Otra COMUNIDAD AUTÓNOMA;14
02023-Casas de Ves;Total;Total;Extranjero;4
02024-Casas-Ibáñez;Total;Total;Misma provincia;46
02024-Casas-Ibáñez;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;4
02024-Casas-Ibáñez;Total;Total;Otra COMUNIDAD AUTÓNOMA;51
02024-Casas-Ibáñez;Total;Total;Extranjero;19
02025-Caudete;Total;Total;Misma provincia;33
02025-Caudete;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02025-Caudete;Total;Total;Otra COMUNIDAD AUTÓNOMA;256
02025-Caudete;Total;Total;Extranjero;77
